ranking,item_name,star_rating,review_count,price
#1,$10 PlayStation Store Gift Card [Digital Code],4.7 out of 5 stars,"225,007",$10.00
#2,$10 Xbox Gift Card [Digital Code],4.7 out of 5 stars,"112,770",$10.00
#3,$10 Nintendo eShop Gift Card [Digital Code],4.7 out of 5 stars,"64,736",$5.00
#4,Roblox Gift Card - 800 Robux [Includes Exclusive Virtual Item] [Online Game Code],4.6 out of 5 stars,"65,593",$10.00
#5,PlayStation DualSense Wireless Controller – Midnight Black,4.8 out of 5 stars,"22,972",$69.99
#6,Roblox Gift Card - 2000 Robux [Includes Exclusive Virtual Item] [Online Game Code],4.6 out of 5 stars,"65,593",$25.00
#7,PlayStation Plus: 1 Month Membership [Digital Code],4.7 out of 5 stars,"25,982",$9.99
#8,PlayStation DualSense Wireless Controller – Cosmic Red,4.8 out of 5 stars,"22,972",$74.99
#9,"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",4.4 out of 5 stars,"76,794",$19.99
#10,"SanDisk 128GB microSDXC Card, Licensed for Nintendo Switch - SDSQXAO-128G-GNCZN",4.9 out of 5 stars,"125,981",$23.32
#11,New Pokémon Snap - Nintendo Switch,4.8 out of 5 stars,803,$59.07
#12,$20 Xbox Gift Card [Digital Code],4.7 out of 5 stars,"112,770",$20.00
#13,Nintendo Switch Pro Controller,4.9 out of 5 stars,"47,080",
#14,Super Mario 3D World + Bowser's Fury - Nintendo Switch,4.9 out of 5 stars,"13,115",
#15,Mass Effect Legendary Edition - PlayStation 4,4.3 out of 5 stars,25,$59.88
#16,"Gaming Headset with Mic for PS5, PS4, Xbox, Nintendo Switch and PC, NexiGo Over-Ear Headphones, Skin-Friendly Earmuffs, Lightweight and Breathable, Multi-Platform, White",4.1 out of 5 stars,66,$19.99
#17,Animal Crossing: New Horizons - Nintendo Switch,4.9 out of 5 stars,"49,615",
#18,Playstation DualSense Charging Station,4.9 out of 5 stars,"4,309",$29.99
#19,Playstation DualSense Wireless Controller,4.8 out of 5 stars,"22,972",$69.00
#20,amFilm Tempered Glass Screen Protector for Nintendo Switch 2017 (2-Pack),4.8 out of 5 stars,"84,335",$5.99
#21,Story of Seasons: Friends of Mineral Town - Nintendo Switch,4.8 out of 5 stars,"4,167",$19.99
#22,"RUNMUS Gaming Headset Xbox One Headset with 7.1 Surround Sound Stereo, PS4 Headset with Noise Canceling Mic & LED Light, Compatible with PC, PS4, Xbox One Controller(Adapter Needed), Nintendo Switch",4.4 out of 5 stars,"83,488",$19.99
#23,Roblox Gift Card - 4500 Robux [Includes Exclusive Virtual Item] [Online Game Code],4.6 out of 5 stars,"65,593",$44.99
#24,"Xbox Wireless Controller – Electric Volt for Xbox Series X|S, Xbox One, and Windows 10 Devices",5.0 out of 5 stars,3,$59.99
#25,"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",4.7 out of 5 stars,"18,097",$46.99
#26,The Legend of Zelda: Breath of the Wild - Nintendo Switch,4.9 out of 5 stars,"36,876",$47.99
#27,Mario Golf: Super Rush - Nintendo Switch,,,$59.88
#28,Miitopia - Nintendo Switch,,,$49.88
#29,Nintendo Switch with Gray Joy‑Con - HAC-001(-01),4.9 out of 5 stars,"78,602",$299.99
#30,PowerA USB Charging Cable for PlayStation 4,4.6 out of 5 stars,"22,203",$6.99
#31,Mario Kart 8 Deluxe - Nintendo Switch,4.9 out of 5 stars,"47,734",$49.94
#32,"Controller Battery Pack for Xbox One/Xbox Series X|S, BEBONCOOL 2x2550 mAh Rechargeable Battery Pack for Xbox Series X|S/Xbox One/Xbox One S/Xbox One X/Xbox One Elite Controller-Green",4.8 out of 5 stars,"29,782",$19.99
#33,Minecraft: Java Edition for PC/Mac [Online Game Code],4.7 out of 5 stars,"25,087",$26.95
#34,Ring Fit Adventure - Nintendo Switch,4.8 out of 5 stars,"20,877",
#35,Nintendo Blue/ Neon Yellow Joy-Con (L-R) - Switch,4.8 out of 5 stars,"63,392",
#36,Nintendo Neon Purple/ Neon Orange Joy-Con (L-R) - Switch,4.8 out of 5 stars,"63,392",
#37,Redragon S101 Wired Gaming Keyboard and Mouse Combo RGB Backlit Gaming Keyboard with Multimedia Keys Wrist Rest and Red Backlit Gaming Mouse 3200 DPI for Windows PC Gamers (Black),4.6 out of 5 stars,"28,830",$33.99
#38,"Logitech G305 LIGHSTPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",4.7 out of 5 stars,"4,103",$39.99
#39,Nintendo Switch - Animal Crossing: New Horizons Edition - Switch,4.9 out of 5 stars,"78,602",$299.00
#40,PlayStation Plus: 12 Month Membership [Digital Code],4.8 out of 5 stars,"43,226",$59.99
#41,Sony PULSE 3D Wireless Headset,4.7 out of 5 stars,"5,948",$99.99
#42,Jeecoo Xiberia USB Pro Gaming Headset for PC- 7.1 Surround Sound Headphones with Noise Cancelling Microphone- Memory Foam Ear Pads RGB Lights for Laptops,4.4 out of 5 stars,"15,534",$27.99
#43,Mass Effect Legendary Edition - Xbox One,4.5 out of 5 stars,11,$59.88
#44,"Hestia Goods Switch Carrying Case for Nintendo Switch, with 20 Games Cartridges Protective Hard Shell Travel Carrying Case Pouch for Nintendo Switch Console & Accessories, Black",4.8 out of 5 stars,"13,941",$11.99
#45,Super Smash Bros. Ultimate - Nintendo Switch,4.8 out of 5 stars,"47,441",
#46,"BEBONCOOL PS4 Controller Charger, Controller USB Charging Station Dock for DualShock 4, For PlayStation 4 Charging Station for Playstation4 / PS4 / PS4 Slim / PS4 Pro Controller-Black",4.7 out of 5 stars,"39,969",$14.98
#47,Just Dance 2021 - Nintendo Switch Standard Edition,4.8 out of 5 stars,"18,225",$30.56
#48,Final Fantasy XIV Online: 60 Day Time Card [Online Game Code],4.8 out of 5 stars,"3,721",$29.99
#49,"PICTEK Gaming Mouse Wired [7200 DPI] [Programmable] [Breathing Light] Ergonomic Game USB Computer Mice RGB Gamer Desktop Laptop PC Gaming Mouse, 7 Buttons for Windows 7/8/10/XP Vista Linux, Black",4.6 out of 5 stars,"1,082",$13.99
#50,Xbox Game Pass Ultimate: 1 Month Membership [Digital Code],4.8 out of 5 stars,"14,665",$14.99
#51,"Charger for Nintendo Switch, AC Adapter for Nintendo Switch - Fast Travel Wall Charger with 5FT USB Type C Cable 15V/2.6A Power Supply for Nintendo Switch Supports TV Mode and Dock Station",4.7 out of 5 stars,"4,070",$16.99
#52,Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lighting - 6 Programmable Buttons - Drag-Free Cord - Classic Black,4.7 out of 5 stars,"13,478",$29.99
#53,"Redragon K552 Mechanical Gaming Keyboard RGB LED Rainbow Backlit Wired Keyboard with Red Switches for Windows Gaming PC (87 Keys, Black)",4.4 out of 5 stars,"24,341",$31.99
#54,"Apex Legends - 1,000 Apex Coins [Online Game Code]",3.9 out of 5 stars,"1,082",$9.99
#55,[3 Pack] Hestia Goods Tempered Glass Screen Protector for Nintendo switch - Transparent HD Clear Anti-Scratch Screen Protector for Nintendo Switch,4.8 out of 5 stars,"14,659",$5.99
#56,"SanDisk 256GB microSDXC Card, Licensed for Nintendo Switch - SDSQXAO-256G-GNCZN",4.9 out of 5 stars,"125,981",$45.99
#57,YCCTEAM Wireless Game Controller Compatible with PS-4 Console/iOS 13 /Android 10 /MAC/PC (White),3.8 out of 5 stars,"4,086",$31.95
#58,Hori Nintendo Switch Split Pad Pro (Red) Ergonomic Controller for Handheld Mode - Officially Licensed By Nintendo - Nintendo Switch,4.6 out of 5 stars,"15,886",$38.20
#59,Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.9 out of 5 stars,"78,602",$364.75
#60,VALORANT $25 Gift Card - PC [Online Game Code],4.6 out of 5 stars,"3,202",$25.00
#61,"Razer Kraken X Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - PC, PS4, PS5, Switch, Xbox One, Xbox Series X & S, Mobile - Black",4.4 out of 5 stars,"14,940",$49.99
#62,Kandagawa Jet Girls - Racing Hearts Edition (Day 1) - PlayStation 4,4.8 out of 5 stars,471,$60.49
#63,VALORANT $10 Gift Card - PC [Online Game Code],4.6 out of 5 stars,"3,202",$10.00
#64,Playstation Plus: 3 Month Membership [Digital Code],4.8 out of 5 stars,"14,366",$24.99
#65,FIFA 20 Ultimate Team Points 100 [Online Game Code],2.3 out of 5 stars,5,$0.99
